#     r             phi             Phi             Pi             Ricci
0.2638937829    0.8214211576   -1.9051798605   -0.0160846360   -3.0152382133
0.2654645792    0.8184233764   -1.9117001888   -0.0160312944   -3.0048243337
0.2670353756    0.8154154166   -1.9181396381   -0.0159778453   -2.9950446895
0.2686061719    0.8123974055   -1.9244978896   -0.0159242899   -2.9859032486
0.2701769682    0.8093694709   -1.9307746282   -0.0158706292   -2.9774037870
0.2717477645    0.8063317410   -1.9369695418   -0.0158168644   -2.9695498881
0.2733185609    0.8032843446   -1.9430823222   -0.0157629963   -2.9623449412
0.2748893572    0.8002274110   -1.9491126643   -0.0157090261   -2.9557921410
0.2764601535    0.7971610699   -1.9550602667   -0.0156549545   -2.9498944860
0.2780309498    0.7940854515   -1.9609248314   -0.0156007825   -2.9446547783
0.2796017462    0.7910006865   -1.9667060642   -0.0155465109   -2.9400756230
0.2811725425    0.7879069060   -1.9724036744   -0.0154921404   -2.9361594271
0.2827433388    0.7848042415   -1.9780173748   -0.0154376718   -2.9329083996
0.2843141351    0.7816928252   -1.9835468822   -0.0153831057   -2.9303245505
0.2858849315    0.7785727894   -1.9889919169   -0.0153284428   -2.9284096913
0.2874557278    0.7754442672   -1.9943522030   -0.0152736835   -2.9271654342
0.2890265241    0.7723073917   -1.9996274685   -0.0152188286   -2.9265931921
0.2905973205    0.7691622969   -2.0048174450   -0.0151638783   -2.9266941792
0.2921681168    0.7660091168   -2.0099218682   -0.0151088332   -2.9274694103
0.2937389131    0.7628479860   -2.0149404776   -0.0150536936   -2.9289197017
0.2953097094    0.7596790396   -2.0198730168   -0.0149984598   -2.9310456712
0.2968805058    0.7565024130   -2.0247192330   -0.0149431321   -2.9338477384
0.2984513021    0.7533182419   -2.0294788778   -0.0148877107   -2.9373261259
0.3000220984    0.7501266625   -2.0341517067   -0.0148321957   -2.9414808590
0.3015928947    0.7469278114   -2.0387374793   -0.0147765874   -2.9463117671
0.3031636911    0.7437218255   -2.0432359593   -0.0147208858   -2.9518184845
0.3047344874    0.7405088422   -2.0476469145   -0.0146650908   -2.9580004508
0.3063052837    0.7372889990   -2.0519701172   -0.0146092025   -2.9648569126
0.3078760801    0.7340624340   -2.0562053436   -0.0145532207   -2.9723869239
0.3094468764    0.7308292856   -2.0603523742   -0.0144971454   -2.9805893481
0.3110176727    0.7275896924   -2.0644109941   -0.0144409763   -2.9894628585
0.3125884690    0.7243437935   -2.0683809926   -0.0143847132   -2.9990059404
0.3141592654    0.7210917284   -2.0722621632   -0.0143283558   -3.0092168920
0.3157300617    0.7178336366   -2.0760543040   -0.0142719038   -3.0200938264
0.3173008580    0.7145696581   -2.0797572177   -0.0142153569   -3.0316346728
0.3188716543    0.7112999334   -2.0833707113   -0.0141587144   -3.0438371789
0.3204424507    0.7080246029   -2.0868945964   -0.0141019761   -3.0566989120
0.3220132470    0.7047438077   -2.0903286892   -0.0140451413   -3.0702172614
0.3235840433    0.7014576888   -2.0936728105   -0.0139882094   -3.0843894401
0.3251548396    0.6981663878   -2.0969267858   -0.0139311799   -3.0992124871
0.3267256360    0.6948700463   -2.1000904453   -0.0138740520   -3.1146832694
0.3282964323    0.6915688064   -2.1031636239   -0.0138168250   -3.1307984842
0.3298672286    0.6882628104   -2.1061461612   -0.0137594982   -3.1475546613
0.3314380250    0.6849522007   -2.1090379018   -0.0137020707   -3.1649481653
0.3330088213    0.6816371200   -2.1118386951   -0.0136445416   -3.1829751981
0.3345796176    0.6783177114   -2.1145483952   -0.0135869100   -3.2016318015
0.3361504139    0.6749941181   -2.1171668615   -0.0135291750   -3.2209138596
0.3377212103    0.6716664834   -2.1196939580   -0.0134713355   -3.2408171014
0.3392920066    0.6683349510   -2.1221295539   -0.0134133905   -3.2613371038
0.3408628029    0.6649996648   -2.1244735235   -0.0133553389   -3.2824692939
0.3424335992    0.6616607686   -2.1267257460   -0.0132971796   -3.3042089521
0.3440043956    0.6583184069   -2.1288861060   -0.0132389113   -3.3265512146
0.3455751919    0.6549727239   -2.1309544929   -0.0131805328   -3.3494910767
0.3471459882    0.6516238641   -2.1329308017   -0.0131220429   -3.3730233957
0.3487167845    0.6482719724   -2.1348149323   -0.0130634402   -3.3971428936
0.3502875809    0.6449171935   -2.1366067902   -0.0130047234   -3.4218441602
0.3518583772    0.6415596725   -2.1383062860   -0.0129458910   -3.4471216563
0.3534291735    0.6381995546   -2.1399133358   -0.0128869417   -3.4729697170
0.3549999699    0.6348369850   -2.1414278609   -0.0128278740   -3.4993825544
0.3565707662    0.6314721091   -2.1428497883   -0.0127686864   -3.5263542608
0.3581415625    0.6281050723   -2.1441790504   -0.0127093772   -3.5538788126
0.3597123588    0.6247360205   -2.1454155850   -0.0126499450   -3.5819500725
0.3612831552    0.6213650991   -2.1465593355   -0.0125903882   -3.6105617936
0.3628539515    0.6179924540   -2.1476102511   -0.0125307049   -3.6397076223
0.3644247478    0.6146182311   -2.1485682864   -0.0124708937   -3.6693811017
0.3659955441    0.6112425763   -2.1494334016   -0.0124109527   -3.6995756748
0.3675663405    0.6078656356   -2.1502055630   -0.0123508802   -3.7302846880
0.3691371368    0.6044875550   -2.1508847424   -0.0122906744   -3.7615013943
0.3707079331    0.6011084806   -2.1514709172   -0.0122303336   -3.7932189570
0.3722787295    0.5977285585   -2.1519640711   -0.0121698559   -3.8254304523
0.3738495258    0.5943479348   -2.1523641932   -0.0121092394   -3.8581288737
0.3754203221    0.5909667557   -2.1526712788   -0.0120484823   -3.8913071345
0.3769911184    0.5875851672   -2.1528853291   -0.0119875826   -3.9249580716
0.3785619148    0.5842033156   -2.1530063511   -0.0119265385   -3.9590744489
0.3801327111    0.5808213470   -2.1530343581   -0.0118653479   -3.9936489605
0.3817035074    0.5774394074   -2.1529693692   -0.0118040090   -4.0286742339
0.3832743037    0.5740576429   -2.1528114097   -0.0117425196   -4.0641428339
0.3848451001    0.5706761996   -2.1525605111   -0.0116808779   -4.1000472655
0.3864158964    0.5672952233   -2.1522167110   -0.0116190818   -4.1363799771
0.3879866927    0.5639148600   -2.1517800531   -0.0115571293   -4.1731333644
0.3895574890    0.5605352555   -2.1512505875   -0.0114950184   -4.2102997731
0.3911282854    0.5571565555   -2.1506283705   -0.0114327469   -4.2478715025
0.3926990817    0.5537789057   -2.1499134647   -0.0113703129   -4.2858408086
0.3942698780    0.5504024516   -2.1491059391   -0.0113077143   -4.3241999075
0.3958406744    0.5470273387   -2.1482058691   -0.0112449490   -4.3629409784
0.3974114707    0.5436537123   -2.1472133363   -0.0111820149   -4.4020561667
0.3989822670    0.5402817175   -2.1461284291   -0.0111189100   -4.4415375878
0.4005530633    0.5369114993   -2.1449512421   -0.0110556323   -4.4813773291
0.4021238597    0.5335432027   -2.1436818766   -0.0109921796   -4.5215674542
0.4036946560    0.5301769723   -2.1423204403   -0.0109285498   -4.5621000051
0.4052654523    0.5268129526   -2.1408670476   -0.0108647411   -4.6029670058
0.4068362486    0.5234512882   -2.1393218195   -0.0108007512   -4.6441604649
0.4084070450    0.5200921230   -2.1376848836   -0.0107365782   -4.6856723787
0.4099778413    0.5167356010   -2.1359563743   -0.0106722201   -4.7274947339
0.4115486376    0.5133818660   -2.1341364327   -0.0106076748   -4.7696195109
0.4131194339    0.5100310614   -2.1322252065   -0.0105429404   -4.8120386860
0.4146902303    0.5066833306   -2.1302228502   -0.0104780149   -4.8547442347
